X,Y,I
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.000157,0.323999,0.1
0.000178,0.323999,0.1
0.000189,0.323999,0.1
0.000194,0.323999,0.1
0.000197,0.323999,0.1
0.000199,0.323999,0.1
0.000199,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.000271,0.323995,0.1
0.000327,0.323989,0.1
0.000359,0.323989,0.1
0.000376,0.323988,0.1
0.000384,0.323987,0.1
0.000391,0.323986,0.1
0.000393,0.323986,0.1
0.000396,0.323985,0.1
0.000397,0.323985,0.1
0.000398,0.323985,0.1
0.000398,0.323985,0.1
0.000398,0.323985,0.1
0.000398,0.323985,0.1
0.000398,0.323985,0.1
0.000398,0.323985,0.1
0.000398,0.323985,0.1
0.000398,0.323985,0.1
0.000398,0.323985,0.1
0.000398,0.323985,0.1
0.000398,0.323985,0.1
0.000477,0.323971,0.1
0.000578,0.323949,0.1
0.000657,0.323936,0.1
0.000708,0.323928,0.1
0.000739,0.323922,0.1
0.000759,0.323912,0.1
0.000771,0.323908,0.1
0.000778,0.323904,0.1
0.000785,0.323902,0.1
0.000787,0.323902,0.1
0.000787,0.323902,0.1
0.000785,0.323902,0.1
0.000785,0.323902,0.1
0.000785,0.323902,0.1
0.000785,0.323902,0.1
0.000784,0.323902,0.1
0.000783,0.323902,0.1
0.000783,0.323902,0.1
0.000781,0.323902,0.1
0.000781,0.323902,0.1
0.000868,0.323868,0.1
0.00102,0.323822,0.1
0.001181,0.323753,0.1
0.001302,0.323702,0.1
0.001377,0.323671,0.1
0.001434,0.323651,0.1
0.001465,0.323639,0.1
0.001486,0.323632,0.1
0.001503,0.323623,0.1
0.001509,0.323622,0.1
0.001514,0.323621,0.1
0.001512,0.323621,0.1
0.001513,0.323621,0.1
0.001513,0.323621,0.1
0.001513,0.32362,0.1
0.001514,0.32362,0.1
0.001513,0.32362,0.1
0.001511,0.32362,0.1
0.001511,0.32362,0.1
0.001511,0.32362,0.1
0.0016,0.323583,0.1
0.001803,0.323501,0.1
0.002026,0.323408,0.1
0.002242,0.32332,0.099999
0.002396,0.323253,0.099998
0.002513,0.323205,0.099998
0.002579,0.323178,0.099997
0.002625,0.323161,0.099997
0.002672,0.323139,0.099997
0.002707,0.323117,0.099997
0.002717,0.323111,0.099997
0.002718,0.323111,0.099997
0.002724,0.323108,0.099997
0.002726,0.323108,0.099996
0.002728,0.323106,0.099996
0.00273,0.323106,0.099995
0.002731,0.323104,0.099995
0.002732,0.323104,0.099995
0.00273,0.323104,0.099995
0.002728,0.323104,0.099995
0.0028,0.32307,0.099995
0.003029,0.322989,0.099995
0.003279,0.32289,0.099995
0.003588,0.322759,0.099995
0.003814,0.322674,0.099993
0.003989,0.322609,0.099992
0.004128,0.322546,0.099991
0.004218,0.322505,0.09999
0.004299,0.322469,0.099987
0.004349,0.322449,0.099986
0.00438,0.322433,0.099985
0.004395,0.322429,0.099985
0.004406,0.322424,0.099985
0.004414,0.32242,0.099984
0.004425,0.322417,0.099983
0.004428,0.322414,0.099981
0.004434,0.322413,0.099981
0.004437,0.322412,0.099981
0.004437,0.322412,0.09998
0.004437,0.322412,0.09998
0.004494,0.322388,0.09998
0.004704,0.322307,0.09998
0.004998,0.322195,0.099979
0.005355,0.32206,0.099976
0.005671,0.321942,0.099974
0.005924,0.321849,0.099973
0.006133,0.321763,0.099972
0.006288,0.321701,0.099971
0.006402,0.321658,0.099969
0.006496,0.321616,0.099968
0.006555,0.321599,0.099968
0.006599,0.321587,0.099966
0.006623,0.321577,0.099965
0.006634,0.321572,0.099963
0.006649,0.321566,0.099962
0.006659,0.32156,0.099962
0.006672,0.321555,0.099961
0.006683,0.321555,0.099959
0.006684,0.321554,0.099959
0.00668,0.321553,0.099959
0.006733,0.321534,0.099959
0.006922,0.321456,0.099959
0.007229,0.32132,0.099959
0.007597,0.321167,0.099959
0.007985,0.321039,0.099955
0.008309,0.320926,0.099954
0.008619,0.3208,0.099952
0.008845,0.320708,0.099946
0.009017,0.320645,0.099945
0.009156,0.320586,0.099943
0.009266,0.320544,0.099938
0.009337,0.320521,0.099933
0.009393,0.320501,0.099933
0.009425,0.320487,0.099931
0.009445,0.320478,0.099929
0.00946,0.320471,0.099929
0.009485,0.320463,0.099926
0.009495,0.320457,0.099924
0.009512,0.32045,0.099923
0.00952,0.320447,0.099922
0.009562,0.320429,0.099921
0.009725,0.32037,0.099919
0.010027,0.320248,0.099919
0.010381,0.320116,0.099917
0.010814,0.319932,0.099915
0.011193,0.319799,0.099913
0.011579,0.319642,0.099911
0.011905,0.319511,0.099911
0.012123,0.319422,0.09991
0.012328,0.319335,0.099908
0.012485,0.31928,0.099906
0.012604,0.319238,0.099904
0.012686,0.319212,0.099902
0.012747,0.319189,0.099901
0.012802,0.319173,0.0999
0.012829,0.319164,0.099899
0.012854,0.319156,0.099898
0.012883,0.31915,0.099896
0.012902,0.319148,0.099894
0.012915,0.319143,0.099891
0.012961,0.319131,0.099886
0.013094,0.319079,0.099885
0.01337,0.318971,0.099884
0.013718,0.318835,0.099882
0.014174,0.31863,0.099881
0.014595,0.318439,0.099879
0.015043,0.318276,0.099875
0.015453,0.318116,0.099872
0.015773,0.317978,0.099865
0.016053,0.317866,0.09986
0.016241,0.31779,0.099855
0.016433,0.317713,0.099851
0.016577,0.317656,0.099848
0.016678,0.317622,0.099846
0.016765,0.317591,0.099842
0.016837,0.317577,0.099838
0.016891,0.317554,0.099835
0.016945,0.317544,0.099834
0.016973,0.317533,0.099831
0.01701,0.317527,0.099828
0.017044,0.317516,0.099827
0.017169,0.317462,0.099822
0.017438,0.317348,0.09982
0.017772,0.317194,0.099819
0.018222,0.317012,0.099814
0.018682,0.316814,0.099811
0.019211,0.316608,0.099809
0.019672,0.31642,0.099806
0.020075,0.316265,0.099803
0.020407,0.31613,0.099797
0.020716,0.316005,0.099793
0.020977,0.315897,0.099789
0.021177,0.315829,0.099787
0.021363,0.315763,0.099785
0.021481,0.315726,0.099781
0.021592,0.315694,0.099776
0.021669,0.315671,0.099773
0.021729,0.315651,0.099772
0.021812,0.315633,0.099769
0.021884,0.315619,0.099766
0.021941,0.315599,0.099761
0.022049,0.315562,0.099759
0.022285,0.315462,0.099755
0.022572,0.315353,0.099754
0.023001,0.315182,0.099747
0.023482,0.314979,0.099745
0.02406,0.314766,0.099738
0.024616,0.314557,0.099725
0.025083,0.314389,0.099721
0.025522,0.314214,0.099713
0.025862,0.314083,0.09971
0.026178,0.313957,0.099707
0.026437,0.313869,0.099702
0.026692,0.313785,0.099693
0.026895,0.313719,0.09969
0.027051,0.313672,0.099686
0.02718,0.313626,0.09968
0.027285,0.313588,0.099678
0.027392,0.313548,0.099674
0.027519,0.313516,0.099671
0.027607,0.313492,0.099667
0.027727,0.313439,0.099661
0.02795,0.313358,0.099656
0.028231,0.313242,0.099654
0.028637,0.313082,0.099649
0.029115,0.312882,0.099645
0.029658,0.312663,0.099637
0.030244,0.312429,0.099631
0.030808,0.312211,0.099627
0.031354,0.31199,0.099617
0.031786,0.311816,0.099614
0.03219,0.311643,0.099605
0.032529,0.311533,0.099594
0.03288,0.311416,0.099585
0.033193,0.311307,0.099581
0.033445,0.311234,0.099574
0.033631,0.311168,0.09957
0.033803,0.311113,0.099563
0.033954,0.311056,0.099556
0.034117,0.311005,0.099551
0.03425,0.310963,0.099547
0.034398,0.310916,0.099539
0.034621,0.310844,0.099536
0.034894,0.310739,0.099532
0.035305,0.310587,0.099523
0.035785,0.310387,0.099517
0.036291,0.310197,0.099507
0.036899,0.309958,0.099501
0.037509,0.309733,0.099496
0.038112,0.309488,0.099484
0.038631,0.309299,0.099479
0.039101,0.309094,0.099473
0.039524,0.308945,0.09947
0.039956,0.308798,0.099458
0.040373,0.308665,0.099451
0.040755,0.308519,0.099441
0.041072,0.308408,0.099431
0.0413,0.308334,0.099422
0.041528,0.308271,0.099409
0.041736,0.308198,0.099402
0.041939,0.308136,0.099391
0.042126,0.308078,0.099385
0.042375,0.307993,0.099376
0.04268,0.307875,0.099361
0.043062,0.307723,0.099352
