X,Y,I
0.0001,0.324,0.2
0.0001,0.324,0.2
0.0001,0.324,0.2
0.0001,0.324,0.2
0.0001,0.324,0.2
0.0001,0.324,0.2
0.0001,0.324,0.2
0.0001,0.324,0.2
0.0001,0.324,0.2
0.0001,0.324,0.2
0.0001,0.324,0.2
0.0001,0.324,0.2
0.0001,0.324,0.2
0.0001,0.324,0.2
0.0001,0.324,0.2
0.0001,0.324,0.2
0.0001,0.324,0.2
0.0001,0.324,0.2
0.0001,0.324,0.2
0.0001,0.324,0.2
0.000157,0.323998,0.2
0.000191,0.323995,0.2
0.000191,0.323995,0.2
0.000194,0.323995,0.2
0.000199,0.323995,0.2
0.0002,0.323995,0.2
0.0002,0.323995,0.2
0.0002,0.323995,0.2
0.0002,0.323995,0.2
0.0002,0.323995,0.2
0.0002,0.323995,0.2
0.0002,0.323995,0.2
0.0002,0.323995,0.2
0.0002,0.323995,0.2
0.0002,0.323995,0.2
0.0002,0.323995,0.2
0.0002,0.323995,0.2
0.0002,0.323995,0.2
0.0002,0.323995,0.2
0.0002,0.323995,0.2
0.000269,0.32399,0.2
0.000334,0.323982,0.2
0.00037,0.323979,0.2
0.000379,0.323977,0.2
0.00039,0.323976,0.2
0.000395,0.323973,0.2
0.000397,0.323972,0.2
0.000398,0.323972,0.2
0.000399,0.323971,0.2
0.000399,0.323971,0.2
0.000399,0.323971,0.2
0.000398,0.323971,0.2
0.000398,0.323971,0.2
0.000398,0.323971,0.2
0.000398,0.323971,0.2
0.000398,0.323971,0.2
0.000397,0.323971,0.2
0.000397,0.323971,0.2
0.000397,0.323971,0.2
0.000397,0.323971,0.2
0.000482,0.323951,0.2
0.00058,0.323926,0.2
0.000668,0.323913,0.2
0.000712,0.323894,0.2
0.000738,0.323885,0.2
0.000761,0.323876,0.2
0.000775,0.323867,0.2
0.000777,0.323866,0.2
0.00078,0.323864,0.2
0.000783,0.323864,0.2
0.000784,0.323864,0.2
0.000784,0.323864,0.2
0.000783,0.323864,0.2
0.000783,0.323864,0.2
0.000783,0.323864,0.2
0.000783,0.323864,0.2
0.000781,0.323864,0.2
0.000781,0.323864,0.2
0.000781,0.323864,0.2
0.000781,0.323864,0.2
0.000893,0.32382,0.2
0.001047,0.323763,0.2
0.001197,0.323701,0.2
0.00131,0.323654,0.2
0.001382,0.323624,0.2
0.00144,0.323596,0.2
0.001477,0.323579,0.2
0.001498,0.323565,0.2
0.001508,0.323564,0.2
0.001515,0.323561,0.2
0.001518,0.323558,0.2
0.001518,0.323558,0.2
0.001517,0.323558,0.2
0.001517,0.323558,0.2
0.001516,0.323558,0.2
0.001516,0.323558,0.2
0.001513,0.323558,0.2
0.001514,0.323558,0.2
0.001514,0.323558,0.2
0.001514,0.323558,0.2
0.001638,0.323512,0.2
0.001835,0.323427,0.2
0.002061,0.323327,0.2
0.00225,0.323257,0.2
0.002406,0.323202,0.2
0.002515,0.323152,0.2
0.002585,0.32312,0.2
0.002625,0.323093,0.2
0.002659,0.323077,0.2
0.002683,0.323067,0.2
0.002695,0.32306,0.2
0.002702,0.323058,0.2
0.002704,0.323057,0.2
0.002703,0.323057,0.2
0.002701,0.323057,0.2
0.002699,0.323057,0.2
0.002696,0.323057,0.2
0.002696,0.323057,0.2
0.002698,0.323056,0.2
0.002699,0.323055,0.2
0.002818,0.323002,0.2
0.003046,0.32291,0.2
0.003309,0.322811,0.2
0.003593,0.322693,0.2
0.003835,0.322594,0.2
0.004026,0.322503,0.199999
0.004134,0.322458,0.199999
0.004228,0.322416,0.199999
0.004267,0.322394,0.199999
0.004316,0.322376,0.199999
0.004341,0.322367,0.199999
0.004355,0.322362,0.199999
0.004358,0.322362,0.199999
0.004364,0.322361,0.199999
0.004368,0.322359,0.199999
0.00437,0.322359,0.199999
0.00437,0.322359,0.199999
0.004369,0.322359,0.199999
0.004377,0.322358,0.199999
0.004376,0.322357,0.199999
0.004459,0.322329,0.199999
0.004685,0.322233,0.199999
0.005006,0.322103,0.199999
0.005353,0.321951,0.199999
0.005665,0.321808,0.199998
0.005945,0.321698,0.199998
0.006153,0.321607,0.199998
0.006305,0.321555,0.199998
0.006403,0.321512,0.199998
0.006477,0.321477,0.199997
0.006521,0.321456,0.199997
0.006553,0.32144,0.199997
0.006572,0.321436,0.199997
0.006588,0.321433,0.199997
0.006597,0.321432,0.199997
0.006602,0.321429,0.199996
0.006601,0.321429,0.199996
0.006594,0.321427,0.199994
0.006606,0.321426,0.199994
0.006605,0.321426,0.199994
0.006671,0.321398,0.199993
0.006863,0.321318,0.199993
0.007181,0.321174,0.199993
0.007551,0.321018,0.199991
0.007965,0.320845,0.199991
0.00833,0.320677,0.199988
0.0086,0.320555,0.199987
0.008868,0.320451,0.199985
0.00903,0.320383,0.199985
0.00916,0.32033,0.199984
0.00924,0.3203,0.199983
0.009293,0.320279,0.199983
0.009343,0.320265,0.199983
0.009368,0.320257,0.19998
0.009383,0.320248,0.199978
0.009401,0.320243,0.199977
0.009415,0.320238,0.199977
0.009425,0.320235,0.199977
0.009431,0.32023,0.199977
0.00944,0.320229,0.199977
0.009505,0.320208,0.199977
0.009689,0.32013,0.199976
0.009998,0.319986,0.199975
0.010357,0.319834,0.199975
0.01077,0.319693,0.199973
0.011202,0.319513,0.199973
0.011553,0.319367,0.199972
0.011895,0.319239,0.199969
0.012128,0.319129,0.199968
0.012322,0.31905,0.199965
0.012462,0.318984,0.199963
0.012549,0.318948,0.199963
0.012641,0.318922,0.199963
0.012689,0.318904,0.199961
0.012737,0.318888,0.199958
0.012768,0.318877,0.199958
0.012782,0.318874,0.199957
0.01281,0.318867,0.199954
0.012847,0.318861,0.199954
0.012861,0.318852,0.199953
0.012904,0.318837,0.199953
0.013062,0.318779,0.199953
0.01334,0.318662,0.199953
0.013723,0.318486,0.199952
0.014131,0.318313,0.199947
0.014559,0.318132,0.199945
0.015,0.317961,0.199942
0.015398,0.31779,0.199942
0.015745,0.317631,0.199942
0.015998,0.317522,0.199939
0.016235,0.317429,0.199938
0.016377,0.317369,0.199936
0.016523,0.317315,0.199934
0.016612,0.317287,0.199933
0.0167,0.317265,0.199932
0.016735,0.317249,0.199932
0.016785,0.317233,0.199931
0.016815,0.317224,0.199928
0.016854,0.317213,0.199926
0.016905,0.317202,0.199926
0.016936,0.317187,0.199925
0.017058,0.317137,0.199924
0.0173,0.31704,0.199922
0.017688,0.316874,0.199922
0.018121,0.316699,0.199922
0.018569,0.316498,0.199918
0.019065,0.316296,0.19991
0.019561,0.316087,0.199909
0.019952,0.315922,0.199908
0.020268,0.315777,0.199901
0.020552,0.315669,0.199897
0.020777,0.315596,0.199896
0.020954,0.315522,0.199896
0.021105,0.315476,0.199895
0.021224,0.315432,0.199892
0.021323,0.315396,0.19989
0.021387,0.315383,0.199888
0.021455,0.315361,0.199887
0.021501,0.315353,0.199884
0.021575,0.315331,0.199882
0.021633,0.31531,0.199881
0.021748,0.315271,0.199879
0.021977,0.315183,0.199877
0.022329,0.315026,0.199876
0.022752,0.314841,0.199875
0.023225,0.314628,0.199875
0.023744,0.314397,0.199873
0.024296,0.314199,0.199867
0.024754,0.313996,0.199865
0.025128,0.313851,0.199862
0.025526,0.313685,0.199858
0.025841,0.313576,0.199856
0.026127,0.313468,0.199855
0.026347,0.313392,0.199855
0.026518,0.313339,0.199849
0.026684,0.313283,0.199841
0.026824,0.313234,0.199839
0.02694,0.31319,0.199837
0.027017,0.313169,0.199828
0.027124,0.31314,0.199827
0.027207,0.313118,0.199827
0.027341,0.313068,0.199823
0.027563,0.312976,0.199821
0.027859,0.312863,0.199818
0.028286,0.312695,0.199815
0.028764,0.312476,0.199812
0.02934,0.31222,0.199807
0.029862,0.311998,0.199802
0.030345,0.31178,0.199799
0.030807,0.311586,0.199794
0.031244,0.311407,0.199788
0.031642,0.311244,0.199784
0.032018,0.311136,0.199777
0.032299,0.311047,0.19977
0.032533,0.310956,0.199768
0.032751,0.310869,0.199764
0.032947,0.310798,0.199762
0.033138,0.310723,0.199758
0.033272,0.310681,0.199744
0.03342,0.310632,0.199742
0.033567,0.310588,0.19974
0.033707,0.310533,0.199737
0.033915,0.31045,0.199731
0.034205,0.310314,0.199725
0.034604,0.310145,0.199722
0.035066,0.309936,0.199718
0.035613,0.309718,0.199711
0.036187,0.30951,0.199702
0.03672,0.309279,0.199699
0.037215,0.309049,0.199689
0.03773,0.308836,0.199682
0.03817,0.308673,0.199672
0.038631,0.308517,0.199664
0.039011,0.308393,0.199651
0.039363,0.308262,0.199645
0.039626,0.308163,0.199637
0.039884,0.308061,0.199632
0.040115,0.307983,0.199626
0.040297,0.307918,0.199616
0.040504,0.307853,0.199613
0.040677,0.30779,0.199606
0.040862,0.307716,0.199601
0.041085,0.307637,0.199593
0.041406,0.307519,0.199583
0.041771,0.307376,0.199577
0.042192,0.307178,0.199572
0.042711,0.306954,0.199565
0.043333,0.306691,0.199557
0.043902,0.30648,0.199553
0.044453,0.306258,0.199549
0.045053,0.30603,0.19954
