X,Y,I
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.0001,0.324,0.1
0.000159,0.324,0.1
0.000179,0.324,0.1
0.000194,0.324,0.1
0.000196,0.324,0.1
0.000199,0.324,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.0002,0.323999,0.1
0.000266,0.323994,0.1
0.000318,0.323992,0.1
0.000364,0.323987,0.1
0.000383,0.323985,0.1
0.000389,0.323985,0.1
0.000393,0.323985,0.1
0.000394,0.323985,0.1
0.000396,0.323985,0.1
0.000396,0.323985,0.1
0.000396,0.323985,0.1
0.000397,0.323984,0.1
0.000397,0.323984,0.1
0.000397,0.323984,0.1
0.000397,0.323984,0.1
0.000397,0.323984,0.1
0.000397,0.323984,0.1
0.000397,0.323984,0.1
0.000397,0.323984,0.1
0.000397,0.323984,0.1
0.000397,0.323984,0.1
0.00048,0.32397,0.1
0.000573,0.323948,0.1
0.000666,0.323928,0.1
0.000722,0.323911,0.1
0.000745,0.323905,0.1
0.00077,0.323901,0.1
0.000779,0.323898,0.1
0.000783,0.323898,0.1
0.000786,0.323897,0.1
0.000787,0.323897,0.1
0.000789,0.323896,0.1
0.00079,0.323896,0.1
0.00079,0.323896,0.1
0.00079,0.323896,0.1
0.00079,0.323896,0.1
0.00079,0.323896,0.1
0.000789,0.323896,0.1
0.000789,0.323896,0.1
0.000789,0.323896,0.1
0.000788,0.323896,0.1
0.000885,0.323864,0.1
0.001029,0.323818,0.1
0.001203,0.323755,0.1
0.001323,0.323701,0.1
0.0014,0.323673,0.1
0.001461,0.32365,0.1
0.001495,0.323631,0.1
0.001511,0.323627,0.1
0.001521,0.323623,0.1
0.001527,0.323622,0.1
0.00153,0.323621,0.1
0.001532,0.32362,0.1
0.001534,0.323619,0.1
0.001535,0.323618,0.1
0.001534,0.323618,0.1
0.001531,0.323618,0.1
0.001531,0.323618,0.1
0.00153,0.323618,0.099999
0.001529,0.323618,0.099999
0.00153,0.323618,0.099999
0.001635,0.323577,0.099999
0.001813,0.323511,0.099999
0.002063,0.323397,0.099999
0.002269,0.323305,0.099999
0.00243,0.323232,0.099999
0.002547,0.323173,0.099999
0.002629,0.323146,0.099999
0.002671,0.323126,0.099999
0.002696,0.32312,0.099999
0.002709,0.323115,0.099999
0.002714,0.323109,0.099999
0.002724,0.323104,0.099999
0.002729,0.323102,0.099999
0.00273,0.323102,0.099999
0.002727,0.323102,0.099999
0.002728,0.323102,0.099999
0.002728,0.323102,0.099999
0.002728,0.323102,0.099999
0.002728,0.323102,0.099999
0.002727,0.323102,0.099999
0.002819,0.323065,0.099999
0.003003,0.322996,0.099999
0.003314,0.322869,0.099999
0.003606,0.322743,0.099998
0.003849,0.322645,0.099998
0.004032,0.322561,0.099998
0.004176,0.3225,0.099998
0.004279,0.322456,0.099998
0.004335,0.322439,0.099998
0.004364,0.322424,0.099998
0.004389,0.322412,0.099998
0.004413,0.322402,0.099998
0.004422,0.322398,0.099998
0.004429,0.322396,0.099998
0.00443,0.322396,0.099998
0.004438,0.322395,0.099998
0.004438,0.322395,0.099998
0.004438,0.322394,0.099998
0.004438,0.322394,0.099998
0.004439,0.322394,0.099998
0.004513,0.322362,0.099998
0.004709,0.322295,0.099998
0.00502,0.322162,0.099998
0.005372,0.322002,0.099997
0.00571,0.321855,0.099997
0.005988,0.321734,0.099997
0.006204,0.321648,0.099997
0.006363,0.321568,0.099996
0.006479,0.321525,0.099996
0.006553,0.321492,0.099996
0.006595,0.321476,0.099996
0.006632,0.321459,0.099996
0.006658,0.321452,0.099996
0.00667,0.321449,0.099996
0.006679,0.321446,0.099996
0.006691,0.321441,0.099996
0.006688,0.321439,0.099996
0.006687,0.321438,0.099996
0.006697,0.321438,0.099996
0.006702,0.321437,0.099996
0.00675,0.32142,0.099996
0.006914,0.321361,0.099996
0.007212,0.321238,0.099995
0.007584,0.321091,0.099994
0.007986,0.320938,0.099994
0.008363,0.320775,0.099994
0.008661,0.320651,0.099992
0.008865,0.320575,0.099991
0.009043,0.320502,0.09999
0.009165,0.320456,0.099989
0.009248,0.320435,0.099988
0.009302,0.320413,0.099988
0.009359,0.320397,0.099987
0.00939,0.320384,0.099987
0.009403,0.320379,0.099986
0.009426,0.320372,0.099986
0.009433,0.320368,0.099985
0.009445,0.320368,0.099985
0.00945,0.320367,0.099985
0.009455,0.320365,0.099985
0.009507,0.32035,0.099985
0.00964,0.320297,0.099985
0.009902,0.320186,0.099985
0.010287,0.320024,0.099984
0.010741,0.319849,0.099984
0.011168,0.319657,0.099983
0.011546,0.319498,0.099983
0.011851,0.319373,0.099982
0.012116,0.319254,0.09998
0.012336,0.319176,0.099979
0.012483,0.319124,0.099978
0.012609,0.319084,0.099978
0.012682,0.319051,0.099978
0.012755,0.319026,0.099977
0.012797,0.319015,0.099976
0.012836,0.319003,0.099974
0.012863,0.318994,0.099972
0.012884,0.318989,0.099971
0.012906,0.318982,0.099971
0.012925,0.318977,0.099971
0.012959,0.318958,0.099971
0.013085,0.318914,0.099971
0.01332,0.318814,0.099971
0.013665,0.318666,0.09997
0.014138,0.318457,0.099969
0.014603,0.318257,0.099969
0.01507,0.318063,0.099967
0.01548,0.317901,0.099966
0.015837,0.317765,0.099963
0.016137,0.317648,0.099958
0.016368,0.317549,0.099957
0.01654,0.317493,0.099955
0.016675,0.317445,0.099953
0.016781,0.317406,0.099952
0.016883,0.317374,0.099948
0.016946,0.317356,0.099945
0.017,0.317345,0.099944
0.017042,0.317333,0.099942
0.01707,0.317329,0.099939
0.017111,0.31732,0.099938
0.01716,0.3173,0.099937
0.017266,0.317252,0.099935
0.017467,0.317178,0.099934
0.017795,0.317023,0.099932
0.018239,0.316843,0.099931
0.018724,0.316646,0.099931
0.019244,0.31642,0.099929
0.019732,0.316218,0.099929
0.020164,0.316036,0.099927
0.020551,0.315877,0.099927
0.020837,0.315751,0.099925
0.021103,0.315651,0.099925
0.021321,0.315559,0.099923
0.02151,0.315482,0.099923
0.021663,0.315443,0.099921
0.02177,0.315403,0.099918
0.021863,0.315373,0.099916
0.021958,0.315343,0.099912
0.022011,0.315328,0.09991
0.022062,0.315318,0.099908
0.022111,0.3153,0.099908
0.022212,0.315262,0.099907
0.022424,0.315183,0.099905
0.022704,0.315066,0.099903
0.023108,0.314885,0.099901
0.023613,0.314671,0.099897
0.024165,0.314461,0.099893
0.024687,0.314235,0.09989
0.025167,0.314069,0.099887
0.025645,0.313873,0.099882
0.026058,0.313727,0.099879
0.026393,0.313605,0.099874
0.02668,0.313492,0.099872
0.026925,0.31339,0.099869
0.027173,0.313308,0.099866
0.027358,0.313248,0.099866
0.027487,0.313194,0.099865
0.027631,0.31315,0.099863
0.027748,0.313113,0.099862
0.027826,0.313096,0.099859
0.027895,0.313076,0.099857
0.028013,0.31303,0.099855
0.028197,0.312958,0.099853
0.028459,0.312849,0.099849
0.028823,0.312709,0.099847
0.029297,0.312519,0.099845
0.029847,0.312275,0.099845
0.030389,0.312053,0.099841
0.030951,0.311812,0.099838
0.031477,0.311602,0.099837
0.031966,0.311422,0.099833
0.032399,0.311237,0.099829
0.032762,0.3111,0.099825
0.03309,0.310979,0.09982
0.033392,0.310868,0.09982
0.033646,0.310777,0.099818
0.033865,0.310692,0.09981
0.034079,0.310608,0.099804
0.034248,0.310557,0.099802
0.034421,0.310507,0.099795
0.034577,0.310459,0.099791
0.034714,0.310423,0.099788
0.034898,0.310354,0.099783
0.035141,0.310247,0.099779
0.0355,0.310114,0.099778
0.035958,0.309929,0.099772
0.036484,0.309718,0.099766
0.037073,0.30946,0.099765
0.037637,0.30924,0.09976
0.038237,0.308991,0.099758
0.038839,0.308751,0.099753
0.039357,0.308547,0.099752
0.039818,0.308359,0.099747
0.040251,0.308205,0.099741
0.040639,0.308068,0.099739
0.040941,0.307954,0.099733
0.041262,0.30784,0.099725
0.041518,0.307742,0.09972
0.041776,0.307654,0.099711
0.041997,0.307584,0.099705
0.042221,0.30752,0.099702
0.042411,0.307468,0.099698
0.04261,0.307396,0.099693
0.042852,0.307305,0.099687
0.043184,0.30719,0.099682
