X,Y,I
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.000168,0.324,0.05
0.00018,0.324,0.05
0.000194,0.324,0.05
0.000198,0.324,0.05
0.0002,0.324,0.05
0.0002,0.324,0.05
0.0002,0.324,0.05
0.0002,0.324,0.05
0.0002,0.324,0.05
0.0002,0.324,0.05
0.0002,0.324,0.05
0.0002,0.324,0.05
0.0002,0.324,0.05
0.0002,0.324,0.05
0.0002,0.324,0.05
0.0002,0.324,0.05
0.0002,0.324,0.05
0.0002,0.324,0.05
0.0002,0.324,0.05
0.0002,0.324,0.05
0.000277,0.323993,0.05
0.00032,0.32399,0.05
0.000366,0.323982,0.05
0.000384,0.32398,0.05
0.000393,0.323979,0.05
0.000395,0.323978,0.05
0.000397,0.323978,0.05
0.000399,0.323977,0.05
0.000399,0.323977,0.05
0.000399,0.323977,0.05
0.000398,0.323977,0.05
0.000398,0.323977,0.05
0.000398,0.323977,0.05
0.000398,0.323977,0.05
0.000398,0.323977,0.05
0.000398,0.323977,0.05
0.000398,0.323977,0.05
0.000398,0.323977,0.05
0.000398,0.323977,0.05
0.000398,0.323977,0.05
0.0005,0.323955,0.05
0.00058,0.323933,0.05
0.000672,0.32391,0.05
0.00073,0.323897,0.05
0.000761,0.323891,0.05
0.000776,0.323888,0.05
0.000786,0.323886,0.05
0.000791,0.323883,0.05
0.00079,0.323882,0.05
0.000791,0.323882,0.05
0.000791,0.323882,0.05
0.000791,0.323882,0.05
0.000791,0.323882,0.05
0.000791,0.323882,0.05
0.000791,0.323882,0.05
0.000791,0.323882,0.05
0.00079,0.323882,0.05
0.00079,0.323882,0.05
0.000789,0.323882,0.05
0.000788,0.323882,0.05
0.00091,0.323839,0.05
0.00105,0.323779,0.05
0.001207,0.323716,0.05
0.001345,0.323664,0.05
0.001417,0.323637,0.05
0.001469,0.323623,0.05
0.001499,0.323606,0.05
0.001514,0.323601,0.05
0.001525,0.323596,0.05
0.00153,0.323594,0.05
0.001529,0.323594,0.05
0.001531,0.323592,0.05
0.001532,0.323592,0.05
0.001531,0.323592,0.05
0.001529,0.323592,0.05
0.001529,0.323592,0.05
0.001529,0.323592,0.05
0.001527,0.323592,0.05
0.001526,0.323592,0.05
0.001525,0.323592,0.05
0.001648,0.323548,0.05
0.001839,0.323473,0.05
0.002064,0.323373,0.05
0.002299,0.323277,0.05
0.002452,0.323204,0.05
0.002571,0.323158,0.05
0.00265,0.323132,0.05
0.002697,0.323108,0.05
0.002723,0.323101,0.05
0.002739,0.323094,0.05
0.002745,0.323088,0.05
0.002755,0.323086,0.05
0.002753,0.323086,0.05
0.002756,0.323084,0.05
0.002754,0.323084,0.05
0.002753,0.323084,0.05
0.002754,0.323084,0.05
0.002754,0.323084,0.05
0.002752,0.323084,0.05
0.002754,0.323083,0.05
0.002856,0.32304,0.05
0.00307,0.322965,0.05
0.003376,0.322832,0.05
0.003675,0.32272,0.05
0.003898,0.322625,0.049998
