X,Y,I
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.0001,0.324,0.05
0.000159,0.323996,0.05
0.000188,0.323996,0.05
0.000197,0.323996,0.05
0.000199,0.323996,0.05
0.000199,0.323996,0.05
0.000199,0.323996,0.05
0.000199,0.323996,0.05
0.000199,0.323996,0.05
0.000199,0.323996,0.05
0.000199,0.323996,0.05
0.000199,0.323996,0.05
0.000199,0.323996,0.05
0.000199,0.323996,0.05
0.000199,0.323996,0.05
0.000199,0.323996,0.05
0.000199,0.323996,0.05
0.000199,0.323996,0.05
0.000199,0.323996,0.05
0.000199,0.323996,0.05
0.000199,0.323996,0.05
0.000268,0.323987,0.05
0.000329,0.323982,0.05
0.00037,0.32398,0.05
0.000388,0.323979,0.05
0.000393,0.323979,0.05
0.000397,0.323979,0.05
0.000398,0.323979,0.05
0.000398,0.323979,0.05
0.000398,0.323979,0.05
0.000398,0.323979,0.05
0.000398,0.323979,0.05
0.000398,0.323979,0.05
0.000398,0.323979,0.05
0.000398,0.323979,0.05
0.000398,0.323979,0.05
0.000398,0.323979,0.05
0.000398,0.323979,0.05
0.000397,0.323979,0.05
0.000397,0.323979,0.05
0.000397,0.323979,0.05
0.000483,0.323961,0.05
0.000579,0.323943,0.05
0.000677,0.323925,0.05
0.000732,0.323911,0.05
0.000759,0.323907,0.05
0.000778,0.323903,0.05
0.000786,0.323901,0.05
0.000788,0.3239,0.05
0.000789,0.3239,0.05
0.000788,0.3239,0.05
0.000788,0.3239,0.05
0.000788,0.3239,0.05
0.000788,0.3239,0.05
0.000786,0.3239,0.05
0.000785,0.3239,0.05
0.000785,0.3239,0.05
0.000784,0.3239,0.05
0.000784,0.3239,0.05
0.000784,0.3239,0.05
0.000783,0.3239,0.05
0.000878,0.323866,0.05
0.001029,0.323802,0.05
0.001212,0.323741,0.05
0.001325,0.323693,0.05
0.001415,0.323659,0.05
0.00147,0.32364,0.05
0.0015,0.32363,0.05
0.00151,0.323626,0.05
0.001517,0.323622,0.05
0.001521,0.32362,0.05
0.001522,0.32362,0.05
0.001523,0.32362,0.05
0.001523,0.32362,0.05
0.001524,0.323619,0.05
0.001524,0.323619,0.05
0.001524,0.323619,0.05
0.001524,0.323619,0.05
0.001524,0.323619,0.05
0.001524,0.323619,0.05
0.001525,0.323619,0.05
0.001615,0.323579,0.05
0.001811,0.323491,0.05
0.002071,0.323384,0.05
0.002291,0.323294,0.05
0.002452,0.323227,0.049999
0.002588,0.32317,0.049999
0.002657,0.323139,0.049999
0.002701,0.323121,0.049999
0.00272,0.32311,0.049998
0.002733,0.323103,0.049998
0.002742,0.3231,0.049998
0.002748,0.323098,0.049998
0.00275,0.323096,0.049997
0.002752,0.323095,0.049997
0.00275,0.323094,0.049997
0.002749,0.323094,0.049997
0.002748,0.323094,0.049997
0.00275,0.323094,0.049997
0.002748,0.323094,0.049997
0.002751,0.323094,0.049997
0.002821,0.323069,0.049997
0.003027,0.322987,0.049997
